id,lieu_id,nom_etablissement,adresse
301,37,CLUB VVF CHALET LES AROLLES 1 et 2,
302,44,CHALET DU REPLATET,
303,48,CLUB MED EXTREME ARC 1950 - 2000,"Arc 2000, 73700 Bourg-Saint-Maurice, France"
304,48,CLUB MMV LES MELEZES,"Arc 2000, Avenue de Haute Tarentaise, 73700 Bourg-Saint-Maurice, France"
305,48,CLUB HOTEL BELAMBRA L'AIGUILLE ROUGE,"Arc 2000, 73700 Bourg-Saint-Maurice, France"
306,16,CENTRE LE CHOZAL ORTF,
307,48,CLUB MMV ALTITUDE,"ZAC Arc 2000 - Le Drosset, 73700 Bourg-Saint-Maurice, France"
308,16,CLAMART,
309,16,CLUB CCAS,
311,16,CREDIT LYONNAIS,"Les Saisies, 73620 Hauteluce, France"
312,16,LE CHALET BISANNE / RADIANCE,"111 route du Reban, 73270 Villard-sur-Doron, France"
313,46,VCS LES ARCS,
314,45,UCPA LES ARCS,"Centre Ucpa, 73700 Bourg-Saint-Maurice, France"
315,16,LA CHAUDANE,"La Chaudanne, 73620 Hauteluce, France"
316,512,CAMPING LES MELEZES/ FENNAZ,"Camping Les Mèlézes-La Fennaz, Rte du Doron, 73500 Val-Cenis, France"
317,512,LE VAL D'AMBIN,"Camping Caravaneige Le Val d’Ambin, 602 Route de l'Église Bramans, 73500 Val-Cenis, France"
318,512,CAMPING LE BALMASSES,"CAMPING LES BALMASSES, Chem. des Balmasses, 73500 Val-Cenis, France"
319,512,LE LAISSER ALLER,"Camping Le Laisser-Aller, D83, 73500 Val-Cenis, France"
320,512,CAMPING CHENANTIER,"Camping Le Chenantier, L’envers, 73500 Val-Cenis, France"
321,512,CAMPING CARAVANEIGE DE LANSLEVILLARD,"Camping caravaneige Lanslevillard, Rue sous l'Église, 73480 Val-Cenis, France"
324,14,CAMPING LES RICHARDES,"Camping les Richardes, Le Laisinant, 73150 Val-d&#039;Isère, France"
325,15,CAMPING LA PIAT,"32 Av. du Comte Greyfié de Bellecombe, 73570 Brides-les-Bains, France"
326,43,CAMPING LE CANADA,"Camping le Canada, 73350 Champagny-en-Vanoise, France"
327,42,CAMPING DE MONTCHAVIN,"Camping de Montchavin-Les Coches, 2 All. du Mont Blanc, 73210 La Plagne-Tarentaise, France"
328,44,CAMPING HUTTOPIA - LE VERSOYEN,"Camping Huttopia Bourg Saint Maurice, Rte des Arcs, 73700 Bourg-Saint-Maurice, France"
329,16,AIRE DE SERVICE DU GRAND TETRAS,"1634 Rte du Mont Bisanne, 73270 Villard-sur-Doron, France"
330,512,LE SUFFET,"Le Suffet, 73500 Val-Cenis, France"
331,16,ARC EN CIEL,"4884 route des Saisies, 73620 Hauteluce, France"
332,44,AUTRES GITES DE FRANCE,
333,44,LES GLIERES,
334,44,LA VANOISE,
335,44,APPARTEMENT 5415,
336,45,CHALET LA TAPIA,
337,44,L'ETAPE DE VAUGEL,
338,498,CHALET DARENTASIA,
339,44,CHALET DU VAL,
340,44,L'ETERLOU,
341,44,MONT VENIX,
342,46,CHALET LA MAITAZ,
343,16,LA CHAMBRE DU STOZA,"3142 route d, 73620 Hauteluce, France"
344,16,LE CHALET D'ELEONORE,"166 Av. des Jeux Olympiques, 73620 Hauteluce, France"
345,44,CHALET CHEZ NOUS,
346,44,CHALET JOSET,
347,45,CHALET D'EDMOND,
348,46,CHALET YVES,
349,45,CHALET DEUX TETES,
350,46,CHALET CICERO,
415,510,AGENCE CIMALPES - MERIBEL CENTRE,"519 Rue des Jeux Olympiques, 73550 Les Allues, France"
425,510,AGENCE CIS IMMOBILIER MERIBEL,"372 Rue des Jeux Olympiques, 73550 Les Allues, France"
427,510,AGENCE FONCIA MERIBEL AGENCE DES NEIGES,"Résidence de la Tougnette, 556 Rue des Jeux Olympiques, 73550 Les Allues, France"
428,510,AGENCE JOHN TAYLOR,
429,509,AGENCE SAULIRE,"100 Chem. des Bleuets, 73550 Les Allues, France"
431,509,AGENCE GSI IMMOBILIER - MERIBEL - MOTTARET,"190 Chem. des Bleuets, 73550 Les Allues, France"
432,510,AGENCE GSI IMMOBILIER - MERIBEL,"477 Rue des Jeux Olympiques, 73550 Les Allues, France"
433,510,AGENCE IMMOBILIERE DES CARLINES,
434,510,AGENCE VALLAT IMMOBILIER - MERIBEL REAL ESTATE,"La Chaudanne Résidence le Tremplin, 73550 Les Allues, France"
435,510,HOTEL ALLODIS & SPA BY CLARINS,"1143 Rte du Belvédère, 73550 Les Allues, France"
